BACKDRAFT,Crime Drama - 1991
CAPE FEAR,Thriller - 1991
RUSH HOUR,Action Comedy - 1998
SHANGHAI NOON,Action Comedy - 2000
NOTTING HILL,Romantic Comedy - 1999
SLEEPING WITH THE ENEMY,Thriller Drama - 1991
STEEL MAGNOLIAS,Romantic Drama - 1989
BRINGING OUT THE DEAD,Drama Thriller - 1999
CITY OF ANGELS,Fantasy Romance - 1998
THE ROCK,Action Adventure - 1996
LEAVING LAS VEGAS,Romantic Drama - 1995
RAISING ARIZONA,Crime Comedy - 1987
THE FIFTH ELEMENT,Sci-Fi Adventure - 1997
LETHAL WEAPON,Crime Action - 1987
HUDSON HAWK,Action Comedy - 1991
LOOK WHOS TALKING,Romantic Comedy - 1989
THE BASKETBALL DIARIES,Crime Drama - 1995
MAGNOLIA,Drama - 1999
JERRY MAGUIRE,Romantic Drama - 1996
A FEW GOOD MEN,Crime Mystery - 1992
RAIN MAN,Drama - 1988
COCKTAIL,Romantic Drama - 1988
THE OTHERS,Horror Mystery - 2001
DAYS OF THUNDER,Action Drama - 1990
JACK,Comedy Drama - 1996
OUT OF SIGHT,Crime Comedy - 1998
ANACONDA,Adventure Thriller - 1997
PHENOMENON,Fantasy Drama - 1996
TRUE LIES,Action Thriller - 1994
END OF DAYS,Action Mystery - 1999
DR DOLITTLE,Family Comedy - 1998
ERASER,Action Mystery - 1996
JUNIOR,Romantic Comedy - 1994
LAST ACTION HERO,Action Comedy - 1993
TOTAL RECALL,Adventure Sci-Fi - 1990
TWINS,Comedy Drama - 1988
THE RUNNING MAN,Action Sci-Fi - 1987
PREDATOR,Action Sci-Fi - 1987
COMMANDO,Action Thriller - 1985
SPACE COWBOYS,Adventure Thriller - 2000
IN THE LINE OF FIRE,Crime Drama - 1993
EL CID,Adventure Drama - 1961
ROCKY,Sports Drama - 1976
SISTER ACT,Comedy Music - 1992
AS GOOD AS IT GETS,Romantic Comedy - 1997
BONNIE AND CLYDE,Crime Drama - 1967
REBEL WITHOUT A CAUSE,Romantic Drama - 1955
AMERICAN PSYCHO,Crime Drama - 2000
THE BONE COLLECTOR,Crime Mystery - 1999
CASPER,Family Comedy - 1995
SMALL SOLDIERS,Action Comedy - 1998
HOWARD THE DUCK,Adventure Comedy - 1986
FREE WILLY,Family Drama - 1993
WILD THINGS,Crime Thriller - 1998
BLACK HAWK DOWN,War Drama - 2001
WATERWORLD,Sci-Fi Adventure - 1995
SHALLOW GRAVE,Crime Thriller - 1994
SPEED,Action Thriller - 1994
CONGO,Adventure Mystery - 1995
MOONWALKER,Crime Fantasy - 1988
DUMBO,Musical Animation - 1941
THE GAME,Mystery Thriller - 1997
EDWARD SCISSORHANDS,Romance Fantasy - 1990
MALLRATS,Romantic Comedy - 1995
CHASING AMY,Romantic Comedy - 1997
THE JUNGLE BOOK,Animation Adventure - 1967
FLUBBER,Family Comedy - 1997
SLEEPING BEAUTY,Fantasy Animation - 1959
CINDERELLA,Fantasy Animation - 1950
FROM HELL,Crime Horror - 2001
WE WERE SOLDIERS,History Action - 2002
THE MOTHMAN PROPHECIES,Horror Mystery - 2002
A BEAUTIFUL MIND,Biography Drama - 2001
SHALLOW HAL,Comedy Drama - 2001
GOSFORD PARK,Mystery Drama - 2001
ALI,Sports Drama - 2001
IRIS,Biography Romance - 2001
CHARLOTTE GRAY,Romance Thriller - 2001
ICE AGE,Adventure Animation - 2002
DONT SAY A WORD,Crime Thriller - 2001
PANIC ROOM,Crime Thriller - 2002
CROSSROADS,Music Drama - 1986
RESIDENT EVIL,Action Horror - 2002
AMELIE,French RomCom - 2001
BEVERLY HILLS COP,Action Comedy - 1984
BABYS DAY OUT,Adventure Comedy - 1994
GETTING EVEN WITH DAD,Crime Comedy - 1994
RICHIE RICH,Family Comedy - 1994
UNCLE BUCK,Family Comedy - 1989
MY GIRL,Romantic Drama - 1991
THE PAGEMASTER,Adventure Comedy - 1994
MINORITY REPORT,Sci-Fi Mystery - 2002
SCOOBY DOO,Mystery Comedy - 2002
SPIDERMAN,Action Fantasy - 2002
DRAGONFLY,Mystery Drama - 2002
UNFAITHFUL,Romance Thriller - 2002
MONSTERS BALL,Romantic Drama - 2001
HARDBALL,Sports Drama - 2001
ROLLERBALL,Sci-Fi Action - 1975
MURDER BY NUMBERS,Crime Thriller - 2002
OFFICE SPACE,Crime Comedy - 1999
BLUE JUICE,Romantic Comedy - 1995
THE WISHMASTER,Fantasy Horror - 1997
RAT RACE,Adventure Comedy - 2001
ROCK STAR,Music Drama - 2001
DOMESTIC DISTURBANCE,Crime Thriller - 2001
TRAINING DAY,Crime Action - 2001
ADDAMS FAMILY VALUES,Comedy Sequel - 1993
CATCH ME IF YOU CAN,Crime Drama - 2002
THE BANGER SISTERS,Comedy Drama - 2002
REAL WOMEN HAVE CURVES,Comedy Drama - 2002
THE DEER HUNTER,Drama War - 1978
TWO WEEKS NOTICE,Romantic Comedy - 2002
DAREDEVIL,Superhero Action - 2003
THE HOURS,Drama - 2002
TREASURE PLANET,Animation Adventure - 2002
THE MAGDELENE SISTERS,Drama - 2002
MOONLIGHT MILE,Romantic Drama - 2002
THE RING,Japanese Horror - 2002
ANALYSE THAT,Crime Comedy - 2002
THE GOOD THIEF,Crime Thriller - 2002
MAID IN MANHATTAN,Romantic Comedy - 2002
THE LIFE OF DAVID GALE,Crime Drama - 2003
AUTO FOCUS,Crime Biography - 2002
SHANGHAI KNIGHTS,Action Comedy - 2003
HEARTLANDS,Comedy Drama - 2002
KANGAROO JACK,Adventure Comedy - 2003
THE MATRIX RELOADED,Sci-Fi Action - 2003
KILL BILL,Crime Action - 2003
THE MATRIX,Sci-Fi Action - 1999
DIRTY DEEDS,Comedy - 2005
A GUY THING,Romantic Comedy - 2003
DUMB AND DUMBERER,Comedy - 1994
IDENTITY,Mystery Thriller - 2003
IGBY GOES DOWN,Comedy Drama - 2002
BASIC,Mystery Thriller - 2003
FEARDOTCOM,Horror Crime - 2002
BRUCE ALMIGHTY,Comedy Drama - 2003
BIKER BOYZ,Action Crime - 2003
WRONG TURN,Horror Thriller - 2003
NICHOLAS NICKLEBY,Romantic Drama - 2002
DADDY DAY CARE,Family Comedy - 2003
THE HULK,Superhero Action - 2003
FINDING NEMO,Animation Adventure - 2003
ANGER MANAGEMENT,Comedy - 2003
PACIFIC RIM,Action Sci-Fi - 2013
LILO AND STITCH,Animation Adventure - 2002
SPIDER MAN,Action Fantasy - 2002
CITY OF GOD,Crime Drama - 2002
CATCH ME IF YOU CAN,Crime Biography - 2002
THE PIANIST,History Drama - 2002
MINORITY REPORT,Action Mystery - 2002
ICE AGE,Animation Adventure - 2002
GANGS OF NEW YORK,Crime Drama - 2002
TWENTY EIGHT DAYS LATER,Horror Thriller - 2002
SIGNS,Sci-Fi Thriller - 2002
THE RING,Japanese Horror - 2002
INSOMNIA,Crime Mystery - 2002
ROAD TO PERDITION,Crime Drama - 2002
PANIC ROOM,Crime Thriller - 2002
CHICAGO,Musical Comedy - 2002
EIGHT MILE,Gritty Drama - 2002
HERO,Action History - 2002
TWENTY FIFTH HOUR,Crime Drama - 2002
ADAPTATION,Crime Comedy - 2002
ABOUT A BOY,Romantic Comedy - 2002
KILL BILL,Crime Action - 2003
SCARY MOVIE THREE,Comedy Horror - 2003
BIG FISH,Fantasy Drama - 2003
MYSTIC RIVER,Crime Drama - 2003
DOGVILLE,Drama - 2003
FINDING NEMO,Animated Adventure - 2003
OLDBOY,Mystery Thriller - 2003
COLD MOUNTAIN,War Romance - 2003
BRUCE ALMIGHTY,Comedy Fantasy - 2003
SEABISCUIT,Sports Drama - 2003
GOODBYE LENIN,Romantic Comedy - 2003
LOVE ACTUALLY,Romantic Comedy - 2003
BAD SANTA,Crime Comedy - 2003
THE LAST SAMURAI,Action History - 2003
SOMETHINGS GOTTA GIVE,Romantic Comedy - 2003
HOUSE OF SAND AND FOG,Drama - 2003
X MEN TWO,Sci-Fi Action - 2003
THE ITALIAN JOB,Crime Action - 2003
MATCHSTICK MEN,Crime Comedy - 2003
RUNAWAY JURY,Thriller Drama - 2003
ALIEN VS PREDATOR,Action Sci-Fi - 2004
ANCHORMAN,Comedy - 2004
THE NOTEBOOK,Romantic Drama - 2004
SAW,Horror Mystery - 2004
THE INCREDIBLES,Animated Action - 2004
TROY,Adventure Drama - 2004
SHAUN OF THE DEAD,Horror Comedy - 2004
DODGEBALL,Sports Comedy - 2004
MAN ON FIRE,Action Drama - 2004
DAWN OF THE DEAD,Sci-Fi Horror - 2004
HELLBOY,Fantasy ACTION - 2004
VAN HELSING,Action Fantasy - 2004
THE CHRONICLES OF RIDDICK,Action Sci-Fi - 2004
THE BUTTERFLY EFFECT,Sci-Fi Thriller - 2004
SPIDERMAN TWO,Action Fantasy - 2004
THE GRUDGE,Japanese Horror - 2004
THE BOURNE SUPREMACY,Crime Thriller - 2004
THE DAY AFTER TOMORROW,Action Sci-Fi - 2004
I ROBOT,Action Sci-Fi - 2004
THE PUNISHER,Crime Action - 2004
BATMAN BEGINS,Superhero Action - 2005
SIN CITY,Crime Thriller - 2005
NANNY MCPHEE,Family Fantasy - 2005
ROBOTS,Animated Comedy - 2005
KING KONG,Action Adventure - 2005
THE FORTY YEAR OLD VIRGIN,Romantic Comedy - 2005
CHICKEN LITTLE,Family Comedy - 2005
WEDDING CRASHERS,Romantic Comedy - 2005
BROKEBACK MOUNTAIN,Romantic Drama - 2005
SERENITY,Sci-Fi Action - 2005
MADAGASCAR,Animated Comedy - 2005
PRIDE AND PREJUDICE,Romantic Drama - 2005
CORPSE BRIDE,Musical Animation - 2005
SON OF THE MASK,Family Comedy - 2005
LAND OF THE DEAD,Horror Sci-Fi - 2005
MUNICH,History Drama - 2005
KISS KISS BANG BANG,Comedy Crime - 2005
CINDERELLA MAN,History Drama - 2005
JARHEAD,War Drama - 2005
THE BROTHERS GRIMM,Adventure Comedy - 2005
NO COUNTRY FOR OLD MEN,Crime Drama - 2007
TRANSFORMERS,Action Sci-Fi - 2007
THE BOURNE ULTIMATUM,Action Sci-Fi - 2007
RATATOUILLE,Family Animation - 2007
JUNO,Romantic Comedy - 2007
SUPERBAD,Comedy - 2007
INTO THE WILD,Biography Adventure - 2007
THERE WILL BE BLOOD,Drama - 2007
HOT FUZZ,Action Comedy - 2007
AMERICAN GANGSTER,Crime Drama - 2007
KNOCKED UP,Romantic Comedy - 2007
SWEENEY TODD,Musical Horror - 2007
THE SIMPSONS MOVIE,Animation Comedy - 2007
ZODIAC,Crime Mystery - 2007
ATONEMENT,Mystery Romance - 2007
SHOOTER,Crime Action - 2007
STARDUST,Fantasy Adventure - 2007
THE MIST,Horror Thriller - 2007
DEATH PROOF,Action Thriller - 2007
PARANORMAL ACTIVITY,Horror Mystery - 2007
THE DARK KNIGHT,Superhero Action - 2008
IRON MAN,Sci-Fi Action - 2008
WALL E,Animation Adventure - 2008
SLUMDOG MILLIONAIRE,Romantic Drama - 2008
GRAN TORINO,Drama - 2008
TAKEN,Crime Action - 2008
TWILIGHT,Fantasy Romance - 2008
IN BRUGES,Crime Comedy - 2008
QUANTUM OF SOLACE,Action Thriller - 2008
WANTED,Action Thriller - 2008
TROPIC THUNDER, Action Comedy - 2008
THE HURT LOCKER,War Drama - 2008
KUNG FU PANDA,Animated Action - 2008
BURN AFTER READING,Crime Comedy - 2008
PINEAPPLE EXPRESS,Crime Comedy - 2008
HELLBOY TWO THE GOLDEN ARMY,Action Fantasy - 2008
BOLT,Family Animation - 2008
STEP BROTHERS,Comedy - 2008
LET THE RIGHT ONE IN,Horror Drama - 2008
BE KIND REWIND,Comedy Drama - 2008
AVATAR,Adventure Fantasy - 2009
INGLOURIOUS BASTERDS,War Drama - 2009
HANGOVER,Comedy - 2009
DISTRICT NINE,Sci-Fi Thriller - 2009
UP,Animated Adventure - 2009
STAR TREK,Sci-Fi Adventure - 2009
ZOMBIELAND,Horror Comedy - 2009
LEE DANIELS THE BUTLER,Biography Drama - 2013
TERMINATOR SALVATION,Sci-Fi Action - 2007
UP IN THE AIR,Romantic Drama - 2009
THE BLIND SIDE,Sports Drama - 2009
I LOVE YOU MAN,Comedy - 2009
THE ROAD,Adventure Drama - 2009
DRAG ME TO HELL,Horror Thriller - 2009
CORALINE,Animation Fantasy - 2009
ADVENTURELAND,Romantic Comedy - 2009
FANTASTIC MR FOX,Animation Adventure - 2009
DAYBREAKERS,Action Horror - 2009
WHERE THE WILD THINGS ARE,Adventure Drama - 2009
INVICTUS,History Drama - 2009
INCEPTION,Action Mystery - 2010
TOY STORY THREE,Animated Adventure - 2010
KICK ASS,Action Comedy - 2010
IRON MAN TWO,Sci-Fi Action - 2010
UNSTOPPABLE,Action Thriller - 2010
THE A TEAM,Action Thriller - 2010
THE EXPENDABLES,Action Thriller - 2010
KNIGHT AND DAY,Action Comedy - 2010
MEGAMIND,Animation Comedy - 2010
THE SOCIAL NETWORK,Biography Drama - 2010
HEREAFTER,Fantasy Drama - 2010
RED,Crime Action - 2010
TANGLED,Animated Comedy - 2010
THE SORCERERS APPRENTICE,Action Adventure - 2010
CLASH OF THE TITANS,Action Fantasy - 2010
THE BOOK OF ELI,Action Drama - 2010
SALT,Crime Mystery - 2010
MORNING GLORY,Romantic Comedy - 2010
PRINCE OF PERSIA,Action Fantasy - 2010
DESPICABLE ME,Animated Comedy - 2010
RIO,Animation Adventure - 2011
MONEYBALL,Sports Drama - 2011
WAR HORSE,War Drama - 2011
WARRIOR,Sports Drama - 2011
J EDGAR,Crime Drama - 2011
THE RAID,Action Thriller - 2011
HUGO,Adventure Drama - 2011
SUCKER PUNCH,Fantasy Thriller - 2011
REAL STEEL,Sci-Fi Action - 2011
FAST AND FURIOUS FIVE,Action Thriller - 2011
GREEN LANTERN,Superhero Action - 2011
X MEN FIRST CLASS,Sci-Fi Action - 2011
THOR,Superhero Action - 2011
BAD TEACHER,Comedy - 2011
INBETWEENERS MOVIE,Comedy - 2011
IN TIME,Sci-Fi Action - 2011
SUPER EIGHT,Sci-Fi Mystery - 2011
COWBOYS AND ALIENS,Action Sci-Fi - 2011
THE MUPPETS,Family Comedy - 2011
MIDNIGHT IN PARIS,Romantic Comedy - 2011
THE DARK KNIGHT RISES,Superhero Action - 2012
SKYFALL,Action Thriller - 2012
THE AVENGERS,Superhero Action - 2012
LES MISERABLES,Musical Drama - 2012
DJANGO UNCHAINED,Western Drama - 2012
THE RAID REDEMPTION,Action Thriller - 2012
ZERO DARK THIRTY,History Drama - 2012
LIFE OF PI,Fantasy Adventure - 2012
PROMETHEUS,Sci-Fi Mystery - 2012
END OF WATCH,Crime Drama - 2012
LOOPER,Crime Sci-Fi - 2012
TED,Comedy Fantasy - 2012
ARGO,History Drama - 2012
THE HUNGER GAMES,Action Adventure - 2012
JACK REACHER,Crime Action - 2012
GET THE GRINGO,Crime Drama - 2012
BRAVE,Animated Adventure - 2012
THE AMAZING SPIDERMAN,Superhero Action - 2012
SILVER LININGS PLAYBOOK,Romantic Comedy - 2012
FLIGHT,Drama Thriller - 2012
GRAVITY,Sci-Fi Drama - 2013
OBLIVION,Adventure Mystery - 2013
MAN OF STEEL,Superhero Action - 2013
THE CONJURING,Horror Thriller - 2013
THE WOLVERINE,Superhero Action - 2013
RUSH,Biography Drama - 2013
CAPTAIN PHILLIPS,Action Adventure - 2013
OZ THE GREAT AND POWERFUL,Adventure Fantasy - 2013
STAR TREK INTO DARKNESS,Sci-Fi Adventure - 2013
MONSTERS UNIVERSITY,Animated Comedy - 2013
IRON MAN THREE,Sci-Fi Action - 2013
FAST AND FURIOUS SIX,Crime Action - 2013
RIDDICK,Sci-Fi Thriller - 2013
THE FAMILY,Crime Comedy - 2013
JACK THE GIANT SLAYER,Adventure Fantasy - 2013
TWO GUNS,Action Comedy - 2013
THE AMAZING SPIDERMAN TWO,Superhero Action - 2014
XMEN DAYS OF FUTURE PAST,Superhero Action - 2014
GODZILLA,Sci-Fi Action - 2014
POMPEII,Action Adventure - 2014
ROBOCOP,Crime Sci-Fi - 2014
THE LEGO MOVIE,Animation Comedy - 2014
RIO TWO,Animation Adventure - 2014
I FRANKENSTEIN,Sci-Fi Fantasy - 2014
FRANK,Comedy Drama - 2014
MUPPETS MOST WANTED,Animated Comedy - 2014
THE RAID TWO,Crime Action - 2014
HERCULES,Action Adventure - 2014
THE OTHER WOMAN,Comedy Romance - 2014
DIVERGENT,Adventure Sci-Fi - 2014
NOAH,Action Adventure - 2014
TRANSCENDENCE,Sci-Fi Drama - 2014
NEED FOR SPEED,Action Drama - 2014
GUARDIANS OF THE GALAXY,Adventure Sci-Fi - 2014
THE MONUMENTS MEN,War Drama - 2014
FURY,War Action - 2014
THE DEPARTED,Crime Thriller - 2006
X MEN THE LAST STAND,Sci-Fi Action - 2006
THE GRANDMASTER,Action Drama - 2013
THE PRESTIGE,Mystery Drama - 2006
MONSTER HOUSE,Animation Comedy - 2006
THE OMEN,Horror Mystery - 2006
PANS LABYRINTH,Fantasy Drama - 2006
CHILDREN OF MEN,Sci-Fi Adventure - 2006
SILENT HILL,Horror Mystery - 2006
MARIE ANTOINETTE,History Drama - 2006
